Kor MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
FILE CREATED:;14/04/2025 09:02;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
MEAN VALUE:;;;;;;32162;44556,2;28962;28,7;45336,7;NA;-69,2;1,6;2,78;10,336;18,59;0;1,134
STANDARD DEVIATION:;;;;;;4969,4;6005,1;3903;4,25;6109,7;0,06;3,7;0,2;0,12;1,311;11,66;0;0
;;;;;;;;;;;;;;;;;;
SENSOR SERIAL NUMBER:;;;;;;24F104701;24F104701;24F104701;24F104701;24F104701;24G103127;24G103127;24G103815;24G103815;24F104701;24G103383;24G103383;24F101324
TIME (HH:MM:SS);DATE (MM/DD/YYYY);FILE NAME;SITE NAME;USER ID;FAULT CODE;COND µS/CM;SPCOND µS/CM;TDS MG/L;SAL PSU;NLF COND µS/CM;PH;PH MV;CABLE PWR V;BATTERY V;TEMP °C;TURBIDITY FNU;TSS MG/L;WIPER POSITION VOLT
10:59:01;14/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;68,2;89,5;58;0,04;91;7,99;-74,4;1,7;2,99;12,564;71,01;0;1,134
09:45:21;14/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36714,1;47875,4;31119;31,15;48682,6;8,06;-78;1,6;2,65;12,794;9,34;0;1,134
08:45:21;14/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37961,3;49904,7;32438;32,61;50755;8,04;-76,9;1,6;2,65;12,47;8,07;0;1,134
07:45:21;14/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38466,4;50755,6;32991;33,22;51624,1;8,04;-76,9;1,6;2,65;12,323;9,71;0;1,134
06:45:21;14/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38431,9;50698,3;32954;33,18;51565,5;8,04;-77,2;1,6;2,65;12,333;8,07;0;1,134
05:45:21;14/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38410,9;50600,5;32890;33,11;51464,8;8,05;-77,4;1,6;2,65;12,387;8,04;0;1,134
04:45:21;14/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38105,8;49961,7;32475;32,65;50810,1;8,06;-77,9;1,6;2,65;12,576;8,03;0;1,134
03:45:21;14/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36568,4;47575,4;30924;30,94;48374,9;8,06;-78,4;1,6;2,65;12,887;8,79;0;1,134
02:45:21;14/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;35575,3;46226,5;30047;29,97;47001,9;8,06;-78,5;1,6;2,65;12,937;10,01;0;1,134
01:45:21;14/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37838,5;49584,6;32230;32,38;50426,1;8,05;-77,8;1,6;2,64;12,597;8,48;0;1,134
00:45:21;14/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37705,7;49382,1;32098;32,23;50219,4;8,06;-78,1;1,6;2,65;12,62;28,72;0;1,134
23:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37958,7;49718,4;32317;32,48;50561,6;8,06;-78,3;1,6;2,65;12,616;7,85;0;1,134
22:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37442,3;48802,1;31721;31,82;49624,4;8,08;-79,4;1,6;2,65;12,813;7,37;0;1,134
21:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38070,3;49813,6;32379;32,55;50657,3;8,08;-79,4;1,6;2,65;12,657;6,68;0;1,134
20:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38363,9;50512,7;32833;33,05;51374,9;8,06;-77,9;1,6;2,65;12,408;7,44;0;1,134
19:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38408,1;50653,4;32925;33,15;51519,6;8,06;-78,1;1,6;2,65;12,343;6,54;0;1,134
18:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38325,7;50400,9;32761;32,97;51259,9;8,08;-79,1;1,6;2,65;12,456;6,92;0;1,134
17:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38397,8;50603,3;32892;33,11;51468;8,07;-78,8;1,6;2,65;12,372;6,51;0;1,134
16:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37932,8;49297,3;32043;32,19;50124,5;8,13;-82,2;1,6;2,65;12,93;5,87;0;1,134
15:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37977,8;49413,8;32119;32,27;50244,3;8,12;-81,9;1,6;2,65;12,883;5,76;0;1,134
14:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38244;50002,8;32502;32,69;50848,8;8,1;-80,3;1,6;2,65;12,688;6,57;0;1,134
13:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38409,7;50682,6;32944;33,17;51549,9;8,06;-78,1;1,6;2,65;12,322;9,29;0;1,134
12:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38313,4;50648,8;32922;33,14;51517,3;8,06;-77,9;1,6;2,65;12,249;10,25;0;1,134
11:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38018;50017,1;32511;32,69;50870;8,07;-78,8;1,6;2,65;12,44;9,51;0;1,134
10:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37837,3;49702;32306;32,46;50547,9;8,07;-78,6;1,6;2,65;12,502;9,24;0;1,134
09:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37973,6;50082,4;32554;32,73;50938,9;8,04;-77,1;1,6;2,65;12,342;8,46;0;1,134
08:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38314,4;50749,8;32987;33,21;51621,9;8,03;-76,1;1,6;2,65;12,171;9,01;0;1,134
07:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38511,4;51118;33227;33,47;51998,3;8,03;-76,2;1,6;2,65;12,088;7,52;0;1,134
06:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38520,9;51133,7;33237;33,49;52014,3;8,03;-76,5;1,6;2,65;12,086;7,72;0;1,134
05:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38494,1;51080,8;33203;33,45;51960,2;8,03;-76,4;1,6;2,65;12,099;8,54;0;1,134
04:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38396,4;50882,3;33074;33,31;51757,1;8,03;-76,4;1,6;2,65;12,152;9,56;0;1,134
03:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37019,5;48221,5;31344;31,4;49033,3;8,07;-78,9;1,6;2,65;12,838;5,77;0;1,134
02:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37103,2;48472;31507;31,58;49291,2;8,06;-78,2;1,6;2,65;12,72;6,83;0;1,134
01:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36987,7;48301,8;31396;31,46;49117,7;8,06;-78,1;1,6;2,65;12,736;7,25;0;1,134
00:45:21;13/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37722,1;49735,3;32328;32,48;50585,6;8,03;-76,3;1,6;2,65;12,354;17,67;0;1,134
23:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37890,4;50026,8;32517;32,69;50883,4;8,02;-75,8;1,6;2,65;12,299;17,97;0;1,134
22:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36829,2;47984;31190;31,23;48792;8,05;-77,7;1,6;2,65;12,829;14,97;0;1,134
21:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36643,2;47638,3;30965;30,98;48438;8,05;-77,7;1,6;2,65;12,916;9,27;0;1,134
20:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37001,5;48369,4;31440;31,5;49187,6;8,03;-76,5;1,6;2,65;12,695;8,33;0;1,134
19:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37340,1;49035,8;31873;31,98;49870,2;8,02;-76,1;1,6;2,65;12,512;7,65;0;1,134
18:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37884,4;50033,6;32522;32,69;50890,6;8,02;-75,5;1,6;2,65;12,287;7,8;0;1,134
17:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38331;50915,6;33095;33,33;51793,1;8,01;-75,1;1,6;2,65;12,059;8,84;0;1,134
16:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38140,7;50586,3;32881;33,09;51456,8;8,02;-75,7;1,6;2,65;12,119;8,19;0;1,134
15:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36660,5;47925,8;31152;31,18;48736,5;8,04;-77,2;1,6;2,65;12,693;7,59;0;1,134
14:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;34880,4;44895;29182;29,02;45637,2;8,05;-77,7;1,6;2,65;13,321;7,25;0;1,134
13:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;35831,5;46520,8;30239;30,18;47300,3;8,07;-78,6;1,6;2,65;12,97;6,27;0;1,134
12:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36936,7;47647,1;30971;31;48437,6;8,16;-84,4;1,6;2,65;13,231;6,28;0;1,134
11:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36872,5;47999,3;31200;31,24;48806,6;8,1;-80,5;1,6;2,65;12,863;7,24;0;1,134
10:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37025,6;48427,3;31478;31,54;49247,1;8,07;-79;1,6;2,65;12,673;6,58;0;1,134
09:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36923;48352,4;31429;31,49;49172,2;8,04;-77,3;1,6;2,65;12,624;6,16;0;1,134
08:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37145,3;48821;31734;31,82;49652,6;8,02;-75,8;1,6;2,65;12,479;6,11;0;1,134
07:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38148,1;50674,3;32938;33,15;51547,7;7,99;-74,1;1,6;2,65;12,058;6,02;0;1,134
06:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38422,7;51153,2;33250;33,49;52036,7;7,99;-73,9;1,6;2,65;11,97;6,14;0;1,134
05:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38220,5;50752,2;32989;33,21;51626,5;8;-74,5;1,6;2,65;12,072;7,17;0;1,134
04:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38092,8;50516,2;32836;33,04;51385,4;8,01;-75,2;1,6;2,65;12,124;7,27;0;1,134
03:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;35580,8;46364,6;30137;30,06;47145,5;8,03;-76,5;1,6;2,65;12,823;7,96;0;1,134
02:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;35776,6;46555,3;30261;30,2;47338;8,04;-77,2;1,6;2,65;12,878;9,21;0;1,134
01:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36017,2;46853,1;30455;30,41;47640,4;8,05;-77,6;1,6;2,65;12,891;9,64;0;1,134
00:45:21;12/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37069,5;48398,9;31459;31,53;49216,3;8,01;-75,5;1,6;2,65;12,744;5,55;0;1,134
23:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37183,6;48537,1;31549;31,63;49356,6;8,03;-76,5;1,6;2,65;12,753;5,41;0;1,134
22:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37230,2;48684;31645;31,73;49507,9;8,03;-76,7;1,6;2,65;12,682;5,59;0;1,134
21:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37294,1;48681,7;31643;31,73;49503,6;8,04;-77,2;1,6;2,65;12,753;8,52;0;1,134
20:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37151,6;48354,8;31431;31,5;49168;8,06;-78,4;1,6;2,65;12,87;59,05;0;1,134
19:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37115,6;48228,7;31349;31,41;49037,8;8,06;-78,3;1,6;2,65;12,936;5,07;0;1,134
18:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38005,8;50124,3;32581;32,76;50981,5;8,01;-75,5;1,6;2,65;12,342;5,22;0;1,134
17:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38001,7;50315,5;32705;32,89;51179,8;8,03;-76,2;1,6;2,65;12,187;5,94;0;1,134
16:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37098,9;48123,6;31280;31,34;48928,9;8,11;-81,2;1,6;2,65;13,006;5;0;1,134
15:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36776;48205;31333;31,38;49023,3;8,07;-78,9;1,6;2,65;12,587;5,45;0;1,134
14:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36772,4;48196,9;31328;31,37;49014,9;8,07;-78,8;1,6;2,65;12,59;5,67;0;1,134
13:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36942,2;48482,8;31514;31,58;49307,1;8,07;-78,8;1,6;2,65;12,537;6,82;0;1,134
12:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36908,6;48467,3;31504;31,57;49291,9;8,07;-78,9;1,6;2,65;12,514;6,86;0;1,134
11:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36782,4;48399,4;31460;31,51;49224,9;8,07;-78,9;1,6;2,65;12,433;7;0;1,134
10:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36586,9;48211,1;31337;31,38;49034,8;8,06;-78,1;1,6;2,65;12,376;7,38;0;1,134
09:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36593,1;48329;31414;31,46;49156,8;8,03;-76,6;1,6;2,65;12,286;6,66;0;1,134
08:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37478,7;49700,8;32306;32,44;50555,9;8,01;-75;1,6;2,65;12,125;7,18;0;1,134
07:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38615,2;51658,1;33578;33,85;52554,3;7,99;-74,2;1,6;2,65;11,781;8,85;0;1,134
06:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38588,1;51619,5;33553;33,83;52515,1;8;-74,5;1,6;2,65;11,783;11,58;0;1,134
05:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38441,8;51290,7;33339;33,59;52178,5;7,99;-74,2;1,6;2,65;11,884;10,57;0;1,134
04:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38252,9;50901,5;33086;33,31;51780,3;8;-74,6;1,6;2,65;11,99;12,99;0;1,134
03:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;38102,9;50601,9;32891;33,1;51473,8;8,01;-75,2;1,6;2,65;12,068;13,03;0;1,134
02:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;35564,9;46397,3;30158;30,08;47180;8,03;-76,3;1,6;2,65;12,776;16,13;0;1,134
01:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;35572,2;46371,1;30141;30,06;47152,5;8,03;-76,5;1,6;2,65;12,807;12,8;0;1,134
00:45:21;11/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;35885,2;46842,7;30448;30,4;47633,5;8,03;-76,5;1,6;2,65;12,753;7,51;0;1,134
23:45:21;10/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;35689,9;46602;30291;30,23;47389,1;8,03;-76,6;1,6;2,65;12,741;7,49;0;1,134
22:45:21;10/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36787;48041,9;31227;31,27;48853,5;8,04;-77,1;1,6;2,65;12,734;7,41;0;1,134
21:45:21;10/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36982,8;48285,1;31385;31,44;49100,5;8,05;-77,4;1,6;2,65;12,745;7,04;0;1,134
20:45:21;10/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36992;48038;31225;31,27;48843,2;8,07;-78,8;1,6;2,65;12,961;7,15;0;1,134
19:45:21;10/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37211,3;48658,3;31628;31,71;49481,8;8,06;-78;1,6;2,65;12,683;7,89;0;1,134
18:45:21;10/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37859,5;50193,1;32625;32,8;51056,4;8,01;-75,4;1,6;2,65;12,135;13,49;0;1,134
17:45:21;10/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;37620,7;49811,2;32377;32,53;50666,8;8,02;-75,8;1,6;2,65;12,187;9,43;0;1,134
16:45:21;10/04/2025;ELVSeptembre_24G103815_120424_114521.bin;Evens;default user;0;36524,4;47742,8;31033;31,05;48550,3;8,05;-77,6;1,6;2,65;12,698;6,97;0;1,134
