TIME;DATE;COND_µS_CM_1;SPCOND_µS_CM_1;TDS_MG_L_1;SAL_PSU;NLF COND_µS_CM_1;PH;PH_MV;CABLE_PWR_V;BATTERY_V;TEMP_C;TURBIDITY_FNU;
09:15:55;26/09/2025;45151.5;52403.4;34062;34.57;53036.5;8.08;-80.3;1.7;2.76;17755;4;
08:15:55;26/09/2025;45006.4;52286.3;33986;34.49;52920.9;8.08;-80.4;1.7;2.76;17.71;4.21;
07:15:55;26/09/2025;44678.5;52001.1;33801;34.28;52637.8;8.07;-80.1;1.7;2.76;17627;4.14;
06:15:55;26/09/2025;44375.5;51701.1;33606;34.05;52337.2;8.08;-80.2;1.7;2.76;17582;18.65;
05:15:55;26/09/2025;44351.3;51656.9;33577;34.02;52291.6;8.07;-79.6;1.7;2.76;17595;4.26;
04:15:55;26/09/2025;44479;52011.5;33807;34.28;52662.3;8.03;-77.6;1.7;2.76;17418;4.08;
03:15:55;26/09/2025;44535.4;52046.3;33830;34.31;52695.7;8.05;-78.5;1.7;2.76;17444;4.1;
02:15:55;26/09/2025;44535.8;52031.9;33821;34.3;52680.4;8.04;-78.3;1.7;2.76;17457;38.68;
01:15:55;26/09/2025;44701.7;52262.5;33971;34.47;52915.9;8.02;-76.9;1.7;2.76;17426;4.1;
00:15:55;26/09/2025;44867;52238.1;33955;34.45;52878.8;8.05;-78.7;1.7;2.76;17612;3.94;
23:15:55;25/09/2025;44709.1;51861.4;33710;34.17;52486.2;8.06;-79.6;1.7;2.76;17779;3.84;
22:15:55;25/09/2025;45340.1;52534.4;34147;34.67;53163.8;8.06;-79.6;1.7;2.76;17.83;3.88;
21:15:55;25/09/2025;45266.8;52450.7;34093;34.61;53079.2;8.07;-79.9;1.7;2.76;17829;3.88;
20:15:55;25/09/2025;45206.2;52414.4;34069;34.58;53044.5;8.08;-80.4;1.7;2.76;17.8;3.82;
19:15:55;25/09/2025;45128.8;52334;34017;34.52;52963.6;8.09;-81.1;1.7;2.76;17792;17.58;
18:15:55;25/09/2025;45131;52306.6;33999;34.5;52934.1;8.1;-81.8;1.7;2.76;17818;3.67;
17:15:55;25/09/2025;44929.1;52024.1;33816;34.29;52645.4;8.1;-81.9;1.7;2.76;17.86;3.69;
16:15:55;25/09/2025;45066.2;52228.5;33948;34.44;52854.9;8.1;-81.8;1.7;2.76;17.82;3.83;
15:15:55;25/09/2025;45072.6;52271.6;33977;34.48;52900.7;8.13;-83.2;1.7;2.76;17789;4.88;
14:15:55;25/09/2025;45059.3;52283.3;33984;34.48;52914.2;8.15;-84.5;1.7;2.76;17766;7.64;
13:15:55;25/09/2025;45013.9;52336.7;34019;34.52;52974.4;8.15;-84.5;1.7;2.76;17675;4.68;
12:15:55;25/09/2025;44896.3;52352.7;34029;34.53;52999.4;8.12;-82.9;1.7;2.76;17543;3.99;
11:15:55;25/09/2025;44929.2;52437.4;34084;34.6;53087.8;8.05;-78.6;1.7;2.76;17503;3.86;
10:15:55;25/09/2025;44927.4;52443.2;34088;34.6;53094.2;8.04;-78;1.7;2.76;17497;3.8;
09:15:55;25/09/2025;45060.8;52487.2;34117;34.63;53132.3;8.04;-78.3;1.7;2.76;17592;3.87;
08:15:55;25/09/2025;45230.3;52524.5;34141;34.66;53160.8;8.04;-78.3;1.7;2.76;17729;3.88;
07:15:55;25/09/2025;45363.3;52554;34160;34.69;53183.2;8.05;-78.8;1.7;2.76;17836;20.24;
06:15:55;25/09/2025;45425.7;52564.2;34167;34.69;53189.9;8.06;-79.3;1.7;2.76;17.89;3.74;
05:15:55;25/09/2025;45183.9;52421.6;34074;34.59;53053.8;8.06;-79.5;1.7;2.76;17771;4.12;
04:15:55;25/09/2025;44649.9;52337.4;34019;34.52;52999.4;8;-75.9;1.7;2.76;17.31;4.1;
03:15:55;25/09/2025;44888.2;52265.1;33972;34.47;52906.3;8.04;-78;1.7;2.76;17.61;7.09;
02:15:55;25/09/2025;44781.3;52202.6;33932;34.42;52846.6;8.04;-78.3;1.7;2.76;17557;4.21;
01:15:55;25/09/2025;44849.4;52243.6;33958;34.45;52885.8;8.03;-77.6;1.7;2.76;17.59;4.26;
00:15:55;25/09/2025;44919.5;52308.2;34000;34.5;52950.3;8.02;-77.2;1.7;2.76;17605;12.06;
23:15:55;24/09/2025;45211.7;52459.3;34099;34.62;53092.2;8.05;-78.8;1.7;2.76;17767;4.21;
22:15:55;24/09/2025;44710.4;51725.3;33621;34.07;52340.3;8.06;-79.2;1.7;2.76;17.9;3.6;
21:15:55;24/09/2025;45349.2;52413.1;34069;34.58;53033.2;8.08;-80.2;1.7;2.76;17944;7.5;
20:15:55;24/09/2025;44556.5;51426.1;33427;33.85;52030.3;8.08;-80.4;1.7;2.76;18006;4;
19:15:55;24/09/2025;45578.9;52521.6;34139;34.66;53133.5;8.06;-79.6;1.7;2.76;18079;3.94;
18:15:55;24/09/2025;45600.5;52521.1;34139;34.66;53131.5;8.07;-80.2;1.7;2.76;18101;4.1;
17:15:55;24/09/2025;45505.5;52445.3;34089;34.61;53056.8;8.08;-80.4;1.7;2.76;18072;3.99;
16:15:55;24/09/2025;45404.8;52430.2;34080;34.6;53047.7;8.1;-81.5;1.7;2.76;17985;3.91;
15:15:55;24/09/2025;45285;52342.7;34023;34.53;52962.2;8.09;-81.3;1.7;2.76;17941;6;
14:15:55;24/09/2025;45276.1;52346.8;34025;34.53;52967.2;8.09;-81.4;1.7;2.76;17928;9.63;
13:15:55;24/09/2025;45273.8;52355.7;34031;34.54;52976.9;8.11;-82.1;1.7;2.76;17918;4.2;
12:15:55;24/09/2025;45072.5;52308.9;34001;34.5;52940.6;8.11;-82;1.7;2.76;17757;3.66;
11:15:55;24/09/2025;45040.5;52312.8;34003;34.51;52946.9;8.06;-79.1;1.7;2.76;17722;12.19;
10:15:55;24/09/2025;45091.5;52336.4;34019;34.52;52968.8;8.04;-78.2;1.7;2.76;17752;3.86;
09:15:55;24/09/2025;45147;52399.3;34060;34.57;53032.4;8.04;-78.1;1.7;2.76;17754;3.54;
08:15:55;24/09/2025;45346.1;52509.4;34131;34.65;53136.6;8.03;-77.3;1.7;2.76;17858;3.5;
07:15:55;24/09/2025;45616.4;52605.4;34194;34.73;53220.8;8.04;-78.3;1.7;2.76;18044;3.81;
06:15:55;24/09/2025;45700.3;52632.2;34211;34.75;53243.6;8.05;-79;1.7;2.76;18104;12.27;
05:15:55;24/09/2025;45639.5;52562.9;34166;34.69;53173.5;8.06;-79.6;1.7;2.76;18104;9.95;
04:15:55;24/09/2025;45028.9;51997.3;33798;34.28;52609.7;8.06;-79.5;1.7;2.76;17984;3.4;
03:15:55;24/09/2025;44379;52076.8;33850;34.33;52738.6;7.97;-73.7;1.7;2.76;17261;11.21;
02:15:55;24/09/2025;45063.3;52271.7;33977;34.48;52901.5;8.01;-76.3;1.7;2.76;17.78;3.63;
01:15:55;24/09/2025;45198;52320.9;34009;34.51;52944.9;8.01;-76.2;1.7;2.76;17872;3.41;
00:15:55;24/09/2025;45198.2;52253.2;33965;34.46;52872.3;8.02;-77.1;1.7;2.76;17931;8.22;
23:15:55;23/09/2025;45603.4;52433.7;34082;34.6;53037.5;8.04;-78;1.7;2.76;18.18;8.94;
22:15:55;23/09/2025;45929.4;52657.8;34228;34.77;53254.8;8.04;-78.4;1.7;2.76;18.31;22.77;
21:15:55;23/09/2025;45722.2;52473.5;34108;34.63;53071.8;8.07;-80;1.7;2.76;18264;8.51;
20:15:55;23/09/2025;45609.7;52350;34028;34.54;52947.2;8.05;-79.1;1.7;2.76;18259;6.81;
19:15:55;23/09/2025;45666.3;52406.4;34064;34.58;53003.7;8.06;-79.6;1.7;2.76;18266;7.47;
18:15:55;23/09/2025;45670.1;52380.9;34048;34.56;52976.1;8.07;-80;1.7;2.76;18292;3.9;
17:15:55;23/09/2025;45692.4;52400.5;34060;34.58;52995.5;8.08;-80.5;1.7;2.76;18298;3.85;
16:15:55;23/09/2025;45542.8;52264.9;33972;34.47;52860.6;8.08;-80.6;1.7;2.76;18266;3.72;
15:15:55;23/09/2025;45406.2;52083.7;33854;34.34;52675.8;8.07;-80.2;1.7;2.77;18288;3.62;
14:15:55;23/09/2025;45434;52128.2;33883;34.37;52721.6;8.07;-80.2;1.7;2.76;18277;3.9;
13:15:55;23/09/2025;45307.5;52036.8;33824;34.31;52632.5;8.09;-81.1;1.7;2.76;18229;3.83;
12:15:55;23/09/2025;45262.4;52076.3;33850;34.33;52678.1;8.07;-80.2;1.7;2.76;18149;3.88;
11:15:55;23/09/2025;45277.8;52113.4;33874;34.36;52716.8;8.05;-78.7;1.7;2.76;18133;4.05;
10:15:55;23/09/2025;44896.7;51917.8;33747;34.22;52533.7;8.02;-76.8;1.7;2.76;17.92;4.43;
09:15:55;23/09/2025;44870.3;51939.1;33760;34.23;52558.4;8.01;-76.3;1.7;2.76;17874;3.73;
08:15:55;23/09/2025;45014.5;52020.5;33813;34.29;52635.7;8.01;-76.4;1.7;2.76;17949;3.74;
07:15:55;23/09/2025;45481.8;52314.4;34004;34.51;52918;8.03;-77.9;1.7;2.76;18162;3.74;
06:15:55;23/09/2025;45557.8;52353.5;34030;34.54;52954.7;8.05;-78.5;1.7;2.76;18204;7.2;
05:15:55;23/09/2025;45495.8;52287;33987;34.49;52887.6;8.06;-79.6;1.7;2.76;18.2;4.46;
04:15:55;23/09/2025;45389.9;52159.9;33904;34.4;52758.8;8.07;-79.7;1.7;2.76;18205;5.91;
03:15:55;23/09/2025;44856.4;51774.4;33653;34.11;52382.8;8.04;-78.2;1.7;2.77;18004;4.99;
02:15:55;23/09/2025;45195.4;51936.4;33759;34.23;52532.7;8.03;-77.6;1.7;2.76;18205;5.12;
01:15:55;23/09/2025;45017.8;51835.3;33693;34.16;52436.8;8.02;-76.8;1.7;2.77;18114;14.84;
00:15:55;23/09/2025;45007.1;51805.1;33673;34.13;52405.1;8.01;-76.6;1.7;2.76;18.13;8.25;
23:15:55;22/09/2025;45083.7;51790.2;33664;34.12;52383.8;8.02;-76.8;1.7;2.76;18.22;4.15;
22:15:55;22/09/2025;45631.2;52142.7;33893;34.39;52723;8.04;-78.4;1.7;2.76;18462;4.33;
21:15:55;22/09/2025;45852.4;52362.1;34035;34.55;52942.7;8.04;-78.2;1.7;2.76;18491;4.1;
20:15:55;22/09/2025;45565.3;52003.1;33802;34.28;52577.7;8.06;-79.2;1.7;2.76;18519;4.23;
19:15:55;22/09/2025;45563.3;51971.4;33781;34.26;52543.8;8.05;-78.9;1.7;2.77;18544;4.5;
18:15:55;22/09/2025;45536;51944;33764;34.24;52516.3;8.07;-80.1;1.7;2.76;18541;4.55;
17:15:55;22/09/2025;45556.1;51979.2;33787;34.27;52552.8;8.08;-80.5;1.7;2.77;18.53;4.65;
16:15:55;22/09/2025;45471.8;51890.5;33729;34.2;52463.6;8.07;-80;1.7;2.76;18524;4.67;
15:15:55;22/09/2025;45329.9;51754.6;33640;34.1;52327.7;8.07;-80.3;1.7;2.77;18501;5.06;
14:15:55;22/09/2025;45118.7;51544.1;33504;33.94;52116.9;8.07;-79.8;1.7;2.76;18473;4.72;
13:15:55;22/09/2025;45261.3;51711.4;33612;34.07;52286.3;8.06;-79.4;1.7;2.77;18469;5.03;
12:15:55;22/09/2025;44993.7;51547.6;33506;33.95;52129.7;8.07;-80.1;1.7;2.76;18343;14.42;
11:15:55;22/09/2025;44945.2;51622.5;33555;34;52213.6;8.04;-78;1.7;2.77;18228;4.96;
10:15:55;22/09/2025;42556.7;48917.8;31797;32.01;49480.3;8.02;-76.9;1.7;2.76;18192;5.08;
09:15:55;22/09/2025;41326;47550.1;30908;31.02;48099.8;8;-75.5;1.7;2.77;18147;4.89;
08:15:55;22/09/2025;45860.7;52304.3;33998;34.51;52880;8.04;-78.2;1.7;2.76;18.55;5.36;
07:15:55;22/09/2025;45718.8;52159.1;33903;34.4;52734.2;8.04;-78;1.7;2.77;18535;5.32;
06:15:55;22/09/2025;45665.3;52112.2;33873;34.36;52687.7;8.04;-78.3;1.7;2.76;18523;6.22;
05:15:55;22/09/2025;45577;51996.1;33797;34.28;52569.4;8.04;-78.5;1.7;2.77;18536;5.3;
04:15:55;22/09/2025;45249;51679.9;33592;34.04;52253.4;8.05;-78.7;1.7;2.76;18485;4.83;
03:15:55;22/09/2025;44985.9;51387.3;33402;33.83;51958;8.03;-77.8;1.7;2.77;18478;17.2;
02:15:55;22/09/2025;44682.9;51143.2;33243;33.65;51717.7;7.99;-75.2;1.7;2.76;18386;9.79;
01:15:55;22/09/2025;31954.3;36527.7;23743;23.15;36935.1;8.01;-76.5;1.7;2.77;18445;5.31;
00:15:55;22/09/2025;33208.7;37849.7;24602;24.08;38264.7;8.03;-77.5;1.7;2.77;18.58;14.15;
23:15:55;21/09/2025;33965.3;38712.4;25163;24.69;39136.8;8.02;-76.8;1.7;2.77;18.58;5.87;
22:15:55;21/09/2025;33606.1;38270.7;24876;24.38;38688.2;8.03;-77.6;1.7;2.77;18619;5.94;
21:15:55;21/09/2025;34758.3;39551.4;25708;25.28;39980.9;8.05;-78.9;1.7;2.77;18655;5.33;
20:15:55;21/09/2025;28813.4;32874;21368;20.61;33236.6;8.05;-78.9;1.7;2.77;18533;7.39;
19:15:55;21/09/2025;45803.7;52281.4;33983;34.49;52859.5;8.05;-78.8;1.7;2.77;18513;6.61;
18:15:55;21/09/2025;45347.8;51545.6;33505;33.95;52101.7;8.07;-80.3;1.7;2.76;18705;4.72;
17:15:55;21/09/2025;45261.5;51449.2;33442;33.87;52004.4;8.08;-80.7;1.7;2.77;18703;4.6;
16:15:55;21/09/2025;45387.6;51611;33547;33.99;52169.1;8.08;-80.6;1.7;2.76;18687;4.44;
15:15:55;21/09/2025;45034.4;51254.8;33316;33.73;51812.1;8.07;-80.2;1.7;2.77;18646;4.86;
14:15:55;21/09/2025;44459.6;50688.3;32947;33.31;51245;8.06;-79.2;1.7;2.77;18566;6.81;
13:15:55;21/09/2025;44612.8;50856.2;33057;33.44;51414.3;8.07;-80.1;1.7;2.77;18572;6.95;
12:15:55;21/09/2025;44621.2;51024.7;33166;33.56;51594.8;8.05;-78.6;1.7;2.76;18429;7.64;
11:15:55;21/09/2025;44542.2;51007.3;33155;33.55;51581.9;8.03;-77.5;1.7;2.77;18364;7.75;
10:15:55;21/09/2025;44344;50915.5;33095;33.48;51497.5;8.03;-77.4;1.7;2.76;18243;6.4;
09:15:55;21/09/2025;44693.7;51283.1;33334;33.75;51867.1;8.02;-77.1;1.7;2.77;18273;5.93;
08:15:55;21/09/2025;45764.9;52253.1;33965;34.47;52831.9;8.06;-79.3;1.7;2.76;18499;8.34;
07:15:55;21/09/2025;45627;52106.5;33869;34.36;52684.3;8.05;-78.6;1.7;2.77;18489;22.53;
06:15:55;21/09/2025;45114.1;51576.8;33525;33.97;52152.4;8.04;-78.2;1.7;2.76;18.44;5.39;
05:15:55;21/09/2025;45578.5;52035.8;33823;34.31;52612;8.05;-79.1;1.7;2.77;18503;6.48;
04:15:55;21/09/2025;44393.1;50780.4;33007;33.38;51348.8;8.05;-78.9;1.7;2.77;18415;18.67;
03:15:55;21/09/2025;44525.7;50910.9;33092;33.48;51479.4;8.05;-78.6;1.7;2.77;18434;23.48;
02:15:55;21/09/2025;44321.7;50656.3;32927;33.29;51220.7;8.04;-78;1.7;2.76;18453;17.45;
01:15:55;21/09/2025;44727.5;51116.7;33226;33.63;51686;8.02;-77.2;1.7;2.77;18456;21.97;
00:15:55;21/09/2025;44840;51220.9;33294;33.71;51789.8;8.03;-77.5;1.7;2.76;18478;10.65;
23:15:55;20/09/2025;44335.7;50603.5;32892;33.25;51162.9;8.02;-76.9;1.7;2.77;18515;15.26;
22:15:55;20/09/2025;44428.3;50672.2;32937;33.3;51230.1;8.02;-77.1;1.7;2.76;18549;28.68;
21:15:55;20/09/2025;44780.7;51104.8;33218;33.62;51669.3;8.03;-77.6;1.7;2.77;18521;19.25;
20:15:55;20/09/2025;45332.6;51802.7;33672;34.13;52379.3;8.04;-78.4;1.7;2.76;18461;15.83;
19:15:55;20/09/2025;45629.2;52213;33938;34.44;52798.7;8.05;-78.8;1.7;2.77;18398;8.06;
18:15:55;20/09/2025;45569.8;52124.7;33881;34.37;52708;8.05;-78.9;1.7;2.76;18416;7.52;
17:15:55;20/09/2025;45376.1;51868.7;33715;34.18;52447;8.05;-78.7;1.7;2.77;18446;6.76;
16:15:55;20/09/2025;44207.1;50153;32599;32.92;50687.8;8.03;-77.9;1.7;2.77;18793;5.9;
15:15:55;20/09/2025;43597.2;49308.6;32051;32.3;49824.4;8.04;-78.5;1.7;2.77;18936;5;
14:15:55;20/09/2025;42808.5;48561.9;31565;31.76;49079.5;8.02;-77;1.7;2.77;18797;5.29;
13:15:55;20/09/2025;43305.5;49131.6;31936;32.17;49655.7;8.03;-77.6;1.7;2.77;18792;5.74;
12:15:55;20/09/2025;43789.8;49759.6;32344;32.63;50295.4;8.02;-77.2;1.7;2.77;18719;18.6;
11:15:55;20/09/2025;44101.9;50268.3;32674;33.01;50819.6;8.01;-76.4;1.7;2.77;18578;11.9;
10:15:55;20/09/2025;43760.5;49894.7;32432;32.73;50442.9;7.99;-75.4;1.7;2.76;18563;5.76;
09:15:55;20/09/2025;44046.2;50241.8;32657;32.99;50795.2;7.99;-75.2;1.7;2.77;18544;6.34;
08:15:55;20/09/2025;43562.6;49733.9;32327;32.61;50284.5;8.01;-76.7;1.7;2.77;18503;5.74;
07:15:55;20/09/2025;44827.9;51288.7;33338;33.76;51863.5;8.05;-79.1;1.7;2.77;18405;5.79;
06:15:55;20/09/2025;44719.4;51147.4;33246;33.65;51719.6;8.06;-79.2;1.7;2.77;18.42;14.29;
